,idleft,lang,reply_settings,text,source,edit_history_tweet_ids,author_id,conversation_id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,in_reply_to_user_id,geo.place_id,withheld.copyright,withheld.country_codes,withheld.scope,geo.coordinates.type,geo.coordinates.coordinates,type,idright
39,1603178478333202432,pt,mentionedUsers,"RT @minsaude: Faça como o Gabigol: para ser um campeão é preciso proteção. Pais ou responsáveis, levem seus filhos para vacinar contra a po…",Twitter for Android,['1603178478333202432'],71344226,1603178478333202432,2022-12-15T00:01:49.000Z,3396,0,0,0,,,,,,,,retweeted,1597676155414642688
40,1603178472481779713,pt,everyone,"RT @mundodeNarnia22: @DaAcervo Muitas crianças se tornam autistas após a vacinação. De acordo com  pesquisa na Califórnia, publicada em mar…",Twitter Web App,['1603178472481779713'],1060275672600510465,1603178472481779713,2022-12-15T00:01:48.000Z,2,0,0,0,,,,,,,,retweeted,1602857275982548992
41,1603178372615512067,pt,mentionedUsers,"RT @minsaude: Faça como o Gabigol: para ser um campeão é preciso proteção. Pais ou responsáveis, levem seus filhos para vacinar contra a po…",Twitter for Android,['1603178372615512067'],1495100124221083657,1603178372615512067,2022-12-15T00:01:24.000Z,3396,0,0,0,,,,,,,,retweeted,1597676155414642688
42,1603178338763538432,pt,everyone,"""... foram de fato mortos ​​pela vacina.""
 Dr. Peter McCullough https://t.co/CO4pOXdKFj",Twitter Web App,['1603178338763538432'],1060275672600510465,1603178338763538432,2022-12-15T00:01:16.000Z,0,0,1,0,,,,,,,,quoted,1602720475389517824
43,1603178328676044806,pt,everyone,Hoje tomei a 4° dose da vacina 🥰,Twitter Web App,['1603178328676044806'],904528995492003840,1603178328676044806,2022-12-15T00:01:13.000Z,0,0,0,0,,,,,,,,,
44,1603178311395393536,pt,everyone,Mal consigo levantar o braço por culpa dessa vacina,Twitter for Android,['1603178311395393536'],1537896112505335809,1603178311395393536,2022-12-15T00:01:09.000Z,0,0,0,0,,,,,,,,,
45,1603178273122516998,pt,everyone,"RT @DouglasGarcia: Centenas de projetos de deputados serão pautados amanhã na ALESP e, mais uma vez, foi feita a inclusão do PL 668 que pro…",Twitter for Android,['1603178273122516998'],1068079392780357632,1603178273122516998,2022-12-15T00:01:00.000Z,142,0,0,0,,,,,,,,retweeted,1603113717792587776
46,1603178240620826625,pt,everyone,"RT @georgemazzaofic: O documento, elaborado por mais de 60 especialistas, é claro: a vacinação contra COVID deve ser interrompida, imediata…",Twitter for Android,['1603178240620826625'],1141912839650709504,1603178240620826625,2022-12-15T00:00:52.000Z,167,0,0,0,,,,,,,,retweeted,1601371157860876288
47,1603178227735871488,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for iPhone,['1603178227735871488'],353396481,1603178227735871488,2022-12-15T00:00:49.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
48,1603178215341666305,pt,everyone,"@lnndiano @Astronomiaum vacina se baseia. Mesmo tendo grupos anti vacinas ou anti QI, tanto o QI quanto a vacina vão continuar a existir e funcionar do jeito que sempre foram. Créditos totais ao hindemburg melão que fez essa analogia.",Twitter for Android,['1603178215341666305'],1397532056742244357,1603145344313098240,2022-12-15T00:00:46.000Z,0,1,0,0,1397532056742244357,,,,,,,replied_to,1603177451416621057
49,1603178203966836739,pt,everyone,"RT @FrederKamen: 'ah, eu sou jornalista que defende Bolsonaro porque ele defende a liberdade...'

1º nunca cobrou o Presidente sobre a lei…",Twitter for Android,['1603178203966836739'],1550488819450912768,1603178203966836739,2022-12-15T00:00:44.000Z,26,0,0,0,,,,,,,,retweeted,1602800754422579200
50,1603178149092757504,pt,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",Twitter for Android,['1603178149092757504'],1248268737955889154,1603178149092757504,2022-12-15T00:00:31.000Z,1932,0,0,0,,,,,,,,retweeted,1602720475389517824
51,1603178139282284545,pt,everyone,"RT @felipebecari: ficará fechado por 14 dias na esperança de conseguir recuperá-lo, o que será bem difícil.

Por outro lado, de modo geral,…",Twitter for Android,['1603178139282284545'],144576737,1603178139282284545,2022-12-15T00:00:28.000Z,8,0,0,0,,,,,,,,retweeted,1603014423329005568
